Group,Br_MCR,NB_MCR,Exposure,Low80CI.WeightMean,Up80CI.WeightMean,Low95CI.WeightMean,Up95CI.WeightMean
16_151,16,151,0.044072936,0.015063378,0.072932239,-0.001279825,0.090500171
16_152,16,152,0.099660916,NA,NA,NA,NA
16_155,16,155,0.079107421,NA,NA,NA,NA
16_157,16,157,0.043564347,0.011484425,0.073311566,-0.011421632,0.095632402
16_162,16,162,0.049800234,0.029219529,0.070442032,0.017684072,0.081049077
16_171,16,171,0.035011917,NA,NA,NA,NA
16_173,16,173,0.036626561,NA,NA,NA,NA
16_181,16,181,0.045996205,0.024955302,0.065975274,0.014879077,0.076761162
16_182,16,182,0.078994714,NA,NA,NA,NA
16_184,16,184,0.044107016,0.0183547,0.070570645,0.004059551,0.085693066
16_191,16,191,0.079174172,NA,NA,NA,NA
16_192,16,192,0.049487583,NA,NA,NA,NA
16_201,16,201,0.041487423,0.020012077,0.063291459,0.00821819,0.074545753
16_202,16,202,0.036985763,NA,NA,NA,NA
16_203,16,203,0.036547187,NA,NA,NA,NA
16_204,16,204,0.036636799,NA,NA,NA,NA
16_205,16,205,0.036860227,NA,NA,NA,NA
16_211,16,211,0.036925282,NA,NA,NA,NA
16_212,16,212,0.04155977,0.019835336,0.063008155,0.007864541,0.07505415
16_213,16,213,0.036553694,NA,NA,NA,NA
16_214,16,214,0.041561335,0.020211595,0.062950081,0.00915647,0.074349573
16_221,16,221,0.049264069,0.029374136,0.069374867,0.018036545,0.080809545
16_222,16,222,0.058699274,0.021359336,0.095198267,0.000529876,0.118246007
16_231,16,231,0.045487235,0.023877949,0.06736223,0.011373669,0.07963028
16_232,16,232,0.06965176,0.041320434,0.099367329,0.025921842,0.116135475
16_241,16,241,0.041502418,0.02058388,0.062693423,0.009248007,0.073695514
16_242,16,242,0.041600125,0.020278444,0.06329099,0.009002584,0.07475088
18_5,18,5,0.06001466,0.045000922,0.075300842,0.037097004,0.08418253
18_9,18,9,0.066362569,0.05252011,0.079495522,0.045522685,0.086883577
18_10,18,10,0.068654866,0.045645183,0.090831129,0.034715941,0.103498542
18_11,18,11,0.071100801,0.051695766,0.089605379,0.041184788,0.098799664
18_13,18,13,0.042883363,0.03082858,0.054480964,0.02456377,0.060887594
18_14,18,14,0.068933856,0.056162014,0.081715288,0.049381659,0.088854664
18_15,18,15,0.03745421,0.02944951,0.045312168,0.025212719,0.049309255
18_16,18,16,0.092381682,0.07081171,0.115002908,0.059546524,0.126650799
18_18,18,18,0.146993266,0.128213891,0.166588385,0.118493219,0.177496828
18_20,18,20,0.094605728,0.086395301,0.103235251,0.082320779,0.107839727
18_22,18,22,0.051668463,0.040314272,0.063433329,0.034419837,0.069688489
18_24,18,24,0.04430915,0.036497794,0.052221846,0.032486555,0.05620815
